"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"29418","P8_274792NQ",20,0,10,2475,59,0,123.8,0.06,2.48,100
"29419","P8_276030XL",19.6,13.7,51,1825,243,0,35.78,0.05,0.36,50
"29420","P8_277539SC",53.3,33.3,15,-8820,351,30,-294,0.23,-5.88,62.5
"29421","P8_278335LU",0,0,1,0,0,NA,0,0,0,NA
"29422","P8_279751FW",0,0,2,-100,14,0,-50,0.07,-0.5,NA
"29423","P8_280121OD",27.3,9.1,11,2338,577,16.7,106.27,0.52,2.13,33.3
"29424","P8_286215GS",53.8,53.8,13,5651,112,0,217.38,0.09,4.35,80
"29425","P8_286642TP",51.8,19.6,56,5875,861,16.7,52.46,0.15,1.05,50
"29426","P8_290271GP",16.7,16.7,6,1000,74,33.3,83.33,0.12,1.67,NA
"29427","P8_291030UD",46.2,7.7,13,-15000,321,0,-576.92,0.25,-11.54,16.7
"29428","P8_292144MO",0,0,9,-726,130,0,-40.33,0.14,-0.81,0
"29429","P8_292167WQ",0,0,2,0,0,NA,0,0,0,NA
"29430","P8_292423HX",26.5,2.9,102,-6305,1601,0,-30.91,0.16,-0.62,24
"29431","P8_294224AN",20,20,10,0,69,0,0,0.07,0,NA
"29432","P8_296375CS",53.8,23.1,13,-5210,164,50,-200.46,0.13,-4.01,28.6
"29433","P8_296992QD",0,0,16,-1360,199,0,-42.5,0.12,-0.85,0
"29434","P8_298166JI",25,12.5,8,-750,65,0,-46.88,0.08,-0.94,0
"29435","P8_298396RB",52.3,11.4,44,-2858,827,6.7,-32.48,0.19,-0.65,25
"29436","P8_299071VE",12.5,9.4,32,-1708,369,0,-26.69,0.12,-0.53,33.3
"29437","P8_300783YH",7.1,0,14,-900,137,0,-32.14,0.1,-0.64,0
"29438","P8_301493WR",22.2,0,9,-1470,137,0,-81.67,0.15,-1.63,0
"29439","P8_302293OW",6.9,0,29,120,225,0,4.14,0.08,0.04,66.7
"29440","P8_303702UX",17.9,17.9,39,1285,375,0,16.49,0.1,0.33,40
"29441","P8_305637YH",100,0,1,-300,5,0,-300,0.05,-3,0
"29442","P8_306988MQ",45.8,16.7,24,12435,430,14.3,259.08,0.18,5.18,54.5
"29443","P8_307163IX",5.9,5.9,17,-725,126,0,-42.65,0.07,-0.43,0
"29444","P8_308282KY",0,0,7,-600,102,0,-42.86,0.15,-0.86,0
"29445","P8_308569ME",19.2,7.7,26,-500,225,0,-9.62,0.09,-0.19,25
"29446","P8_309061UG",22.4,6,67,13922,729,0,103.9,0.11,2.08,33.3
"29447","P8_310442NL",0,0,1,-200,3,NA,-100,0.03,-2,0
"29448","P8_312537VX",66.7,33.3,9,2890,216,0,160.56,0.24,3.21,40
"29449","P8_312681EO",8.3,4.2,24,1810,736,0,37.75,0.31,0.75,100
"29450","P8_312849JV",31.6,10.5,19,3885,134,0,204.47,0.07,2.04,66.7
"29451","P8_312886XU",31.8,13.6,44,3673,651,0,41.75,0.15,0.83,53.8
"29452","P8_313637PW",27.3,27.3,22,-13360,332,0,-303.64,0.15,-6.07,50
"29453","P8_313804KG",0,0,10,-600,149,0,-30,0.15,-0.6,NA
"29454","P8_313870JW",11.5,3.8,26,-500,226,0,-19.23,0.09,-0.19,0
"29455","P8_313896AH",0,0,2,0,38,0,0,0.19,0,NA
"29456","P8_316751RL",47.1,20.6,34,-16210,422,16.7,-238.41,0.12,-4.77,23.1
"29457","P8_317416QH",46.4,39.3,28,3615,220,0,129.11,0.08,1.29,71.4
"29458","P8_317579XK",64,36,25,17995,360,18.2,359.92,0.14,7.2,69.2
"29459","P8_317584GE",20,20,5,-3300,114,0,-330,0.23,-6.6,0
"29460","P8_317627HG",31.2,6.2,16,2313,150,12.5,72.25,0.09,1.45,50
"29461","P8_317717TP",29.4,19.6,51,4180,789,11.5,40.96,0.15,0.82,54.5
"29462","P8_319091UF",54.1,5.4,37,-5000,285,0,-135.14,0.08,-1.35,43.5
"29463","P8_319780KC",10,7.1,70,-5270,604,4.2,-37.64,0.09,-0.75,33.3
"29464","P8_320441DO",28.6,17.5,63,-1920,762,5,-15.24,0.12,-0.3,25
"29465","P8_320791YC",0,0,6,-150,47,0,-25,0.08,-0.25,0
"29466","P8_320911LG",0,0,2,-500,13,NA,-125,0.06,-2.5,0
"29467","P8_322527SF",28.6,28.6,7,-13450,102,0,-960.71,0.15,-19.21,0
"29468","P8_322802LW",37.5,25,8,2640,98,0,165,0.12,3.3,66.7
"29469","P8_322864CE",60,20,5,-1200,13,0,-120,0.03,-2.4,0
"29470","P8_324335US",15.8,7.9,38,8345,575,0,109.82,0.15,2.2,37.5
"29471","P8_324704AP",0,0,11,-500,261,0,-22.73,0.24,-0.45,NA
"29472","P8_325138AG",11.8,11.8,17,800,185,25,23.53,0.11,0.47,0
"29473","P8_325317TX",0,0,3,-300,27,0,-50,0.09,-1,NA
"29474","P8_325686RY",0,0,1,-100,38,0,-100,0.38,-1,NA
"29475","P8_326113XR",66.7,66.7,3,7485,67,NA,1247.67,0.22,24.95,50
"29476","P8_326764YF",23.8,4.8,21,-21840,390,0,-520,0.19,-10.4,20
"29477","P8_328911MI",44.4,11.1,9,-1582,128,25,-175.78,0.14,-1.76,0
"29478","P8_329208OO",77.1,17.1,35,-643,628,0,-9.23,0.18,-0.18,50
"29479","P8_329339FU",33.3,0,9,3500,111,0,388.89,0.12,3.89,33.3
"29480","P8_329421RU",18.8,12.5,16,4550,226,0,142.19,0.14,2.84,50
"29481","P8_329804TL",25,10.7,56,-14987,886,3.7,-133.8,0.16,-2.68,41.7
"29482","P8_330384JO",0,0,4,-400,92,0,-25,0.23,-1,0
"29483","P8_331868AD",42.9,10,70,-7751,1101,0,-55.37,0.16,-1.11,37
"29484","P8_331873LP",20,0,5,-750,10,0,-150,0.02,-1.5,0
"29485","P8_331998MK",14.8,11.1,27,4225,219,0,156.48,0.08,1.56,75
"29486","P8_333274FC",0,0,5,-150,22,0,-30,0.04,-0.3,NA
"29487","P8_333679YT",0,0,7,-300,80,0,-21.43,0.11,-0.43,NA
"29488","P8_335935JF",30,10,10,2685,56,0,268.5,0.06,2.68,100
